pat_pk;pat_nam;pat_mot;pat_ali;pat_rel_cod;pat_rel_dsc;pat_gen;pat_civ_cod;pat_civ_dsc;pat_rac_cod;pat_rac_dsc;pat_fat;pat_cpl;pat_bir_dat;pat_ntl_cod;pat_ntl_dsc;pat_nid;pat_ssn;pat_dl;pat_dl_uf;pat_adr_str;pat_adr_num;pat_adr_cpl;pat_adr_cit;pat_adr_uf_cod;pat_adr_uf_dsc;pat_adr_zip;pat_adr_prv;pat_adr_ctr;pat_tel_res;pat_tel_com;pat_tel_mob;pat_ema;pat_dth_dat;pat_dth_loc;pat_tr1_dat;pat_tr2_dat;pat_tr3_dat
1511;Alejandra Vera;;Alejandra;;;F;C;CASADO(A);;;;;1992-04-24;;;341839995808366;20794522-6;;;Passeig Asier;9;9º C;;;;16547;A Leyva;CHILE;;;688-571067;paola.arroyo@meldedigital.com;;;2024-01-30 11:39:52.000;2024-01-30 11:39:52.000;2024-01-30 11:39:52.000
1512;Lara Lemus;;Lara;;;F;S;SOLTERO(A);;;;;1996-09-23;;;345492387552337;25388872-5;;;Calle Arellano;873;75º E;;;;54729;El Vicente del Puerto;CHILE;;;+34 601 70 2131;miguelangel.far@zoom-ly.xyz;;;2024-01-30 11:39:54.000;2024-01-30 11:39:54.000;2024-01-30 11:39:54.000
1513;Lara Ruiz;;Lara;;;F;S;SOLTERO(A);;;;;1996-03-28;;;4716804466826;10517882-4;;;Plaza Armijo;98;59º B;;;;35408;Ocampo del Puerto;CHILE;;;+34 943240158;pau32@code-gmail.com;;;2024-01-30 11:39:55.000;2024-01-30 11:39:55.000;2024-01-30 11:39:55.000
1514;Aroa Gaytán;;Aroa;;;F;S;SOLTERO(A);;;;;1995-01-28;;;5420522366835019;10501765-0;;;Rúa Quiñónez;22;25º F;;;;44409;Vall Bautista;CHILE;;;923-31-1379;daniela.castill@lienquan-garenar.com;;;2024-01-30 11:39:57.000;2024-01-30 11:39:57.000;2024-01-30 11:39:57.000
1515;Jose Antonio Rincón;;Jose;;;M;D;DIVORCIADO(A);;;;;1980-05-28;;;4929998565849275;33143057-9;;;Plaza Muñóz;70;3º D;;;;93768;L' Luis del Mirador;CHILE;;;953-52-5602;alejandro42@schwenke.xyz;;;2024-01-30 11:39:58.000;2024-01-30 11:39:58.000;2024-01-30 11:39:58.000
1516;Nahia Cardona;;Nahia;;;F;S;SOLTERO(A);;;;;1972-02-10;;;348379151715066;20225948-0;;;Travessera Valeria;0;71º B;;;;04575;As Morales del Penedès;CHILE;;;602 799886;noa.morales@lienquan-garenar.com;;;2024-01-30 11:40:00.000;2024-01-30 11:40:00.000;2024-01-30 11:40:00.000
1517;Marcos Jiménez;;Marcos;;;M;C;CASADO(A);;;;;1967-09-03;;;4029604136619994;34299920-4;;;Avinguda Angela;118;8º F;;;;13318;Villa Lugo del Puerto;CHILE;;;613 32 1590;almaraz.carolin@ranchodasimpex.com;;;2024-01-30 11:40:01.000;2024-01-30 11:40:01.000;2024-01-30 11:40:01.000
1518;Rodrigo Tapia;;Rodrigo;;;M;U;UNION LIBRE;;;;;1979-07-04;;;5226979205218946;12009550-1;;;Ronda Benítez;914;86º F;;;;49206;Villa Nájera;CHILE;;;638 81 1018;pablo.segovia@buvgul.com;;;2024-01-30 11:40:03.000;2024-01-30 11:40:03.000;2024-01-30 11:40:03.000
1519;Victor Casas;;Victor;;;M;C;CASADO(A);;;;;1974-05-07;;;4716160713923851;20558347-5;;;Camino Gabriel;230;Bajos;;;;40110;Villa Preciado del Bages;CHILE;;;+34 691008720;cristian70@levaetraz.tk;;;2024-01-30 11:40:04.000;2024-01-30 11:40:04.000;2024-01-30 11:40:04.000
1520;Eric Guillen;;Eric;;;M;C;CASADO(A);;;;;1984-01-10;;;5477447694834256;5133053-6;;;Travesia Gabriel;2;2º D;;;;09813;A Garibay;CHILE;;;+34 699 76 3902;alejandro.galve@thongtinlienquan.com;;;2024-01-30 11:40:06.000;2024-01-30 11:40:06.000;2024-01-30 11:40:06.000
1521;Miguel Angel Montenegro;;Miguel;;;M;S;SOLTERO(A);;;;;2002-10-21;;;5355558827699460;23120649-3;;;Avenida Mar;7;4º A;;;;71405;O Armenta;CHILE;;;+34 973-31-7005;gadorno@qqowl.club;;;2024-01-30 11:40:07.000;2024-01-30 11:40:07.000;2024-01-30 11:40:07.000
1522;Guillem Valentín;;Guillem;;;M;V;VIUDO(A);;;;;2003-02-09;;;5461785834969153;14397783-8;;;Ruela Ana;40;7º;;;;18204;San Lázaro de las Torres;CHILE;;;938-128736;wsola@mediapromail.com;;;2024-01-30 11:40:09.000;2024-01-30 11:40:09.000;2024-01-30 11:40:09.000
1523;Nahia Delatorre;;Nahia;;;F;S;SOLTERO(A);;;;;1980-02-03;;;4532259831434189;2177645-9;;;Avinguda Santiago;64;43º 4º;;;;49272;Luna del Mirador;CHILE;;;673-09-7662;ibarra.jan@sweetb.it;;;2024-01-30 11:40:10.000;2024-01-30 11:40:10.000;2024-01-30 11:40:10.000
1524;Sara Montemayor;;Sara;;;F;D;DIVORCIADO(A);;;;;1988-05-07;;;4539171963113445;3963061-3;;;Travessera Antonio;37;42º A;;;;19446;O Rosado del Barco;CHILE;;;+34 622601217;qpadron@newssolor.com;;;2024-01-30 11:40:12.000;2024-01-30 11:40:12.000;2024-01-30 11:40:12.000
1525;Daniel Alonso;;Daniel;;;M;C;CASADO(A);;;;;1994-03-25;;;5537036542905299;14508802-K;;;Travesia Nayara;7;9º 5º;;;;73078;El Casas del Vallès;CHILE;;;+34 652 650165;wvaldes@zoom-ly.xyz;;;2024-01-30 11:40:13.000;2024-01-30 11:40:13.000;2024-01-30 11:40:13.000
1526;Berta Tirado;;Berta;;;F;S;SOLTERO(A);;;;;1973-10-31;;;5596139357022966;26280494-1;;;Passeig Bahena;601;88º E;;;;90062;Vall Gamez Medio;CHILE;;;962338935;zapata.noa@lienquan-garenar.com;;;2024-01-30 11:40:15.000;2024-01-30 11:40:15.000;2024-01-30 11:40:15.000
1527;Naiara Ybarra;;Naiara;;;F;S;SOLTERO(A);;;;;1959-05-03;;;5146364039732353;1752150-0;;;Ruela Aina;003;60º E;;;;71422;Vall Andrés Medio;CHILE;;;+34 975 951408;benavidez.carla@schwenke.xyz;;;2024-01-30 11:40:16.000;2024-01-30 11:40:16.000;2024-01-30 11:40:16.000
1528;Alejandra Cotto;;Alejandra;;;F;C;CASADO(A);;;;;1989-12-14;;;6011230673060262;17039944-7;;;Paseo Luna;10;Bajos;;;;04520;As Maestas;CHILE;;;+34 619-04-3581;badillo.alicia@mtcz.us;;;2024-01-30 11:40:18.000;2024-01-30 11:40:18.000;2024-01-30 11:40:18.000
1529;Celia Flórez;;Celia;;;F;C;CASADO(A);;;;;2000-06-23;;;5577589735905584;4215865-8;;;Praza Rentería;46;46º 8º;;;;59149;O Rentería del Penedès;CHILE;;;687 71 3234;daniel.pardo@asifboot.com;;;2024-01-30 11:40:19.000;2024-01-30 11:40:19.000;2024-01-30 11:40:19.000
1530;Nora Mondragón;;Nora;;;F;S;SOLTERO(A);;;;;1964-05-15;;;4916793733145226;13863233-4;;;Paseo Bernal;46;56º 3º;;;;76170;Barajas del Barco;CHILE;;;+34 629 80 1792;epozo@naverly.com;;;2024-01-30 11:40:21.000;2024-01-30 11:40:21.000;2024-01-30 11:40:21.000
1531;Rayan Hernádez;;Rayan;;;M;C;CASADO(A);;;;;1968-05-03;;;4716464091393;2018372-1;;;Camino Fernando;138;8º 0º;;;;62215;Casas Baja;CHILE;;;+34 919-67-4297;beltran.sergio@suksesboss.com;;;2024-01-30 11:40:22.000;2024-01-30 11:40:22.000;2024-01-30 11:40:22.000
1532;Enrique Delatorre;;Enrique;;;M;S;SOLTERO(A);;;;;1973-10-19;;;5377616426002561;2505205-6;;;Avenida Joan;192;2º F;;;;16736;Os Sanches del Penedès;CHILE;;;+34 913-87-0172;qabrego@igeekmagz.pw;;;2024-01-30 11:40:24.000;2024-01-30 11:40:24.000;2024-01-30 11:40:24.000
1533;Teresa Soliz;;Teresa;;;F;V;VIUDO(A);;;;;1987-07-16;;;376077175822935;15336051-0;;;Praza Romero;490;5º D;;;;71873;Villa Malave;CHILE;;;968 60 7632;helena.clemente@ranchodasimpex.com;;;2024-01-30 11:40:25.000;2024-01-30 11:40:25.000;2024-01-30 11:40:25.000
1534;Diego Villa;;Diego;;;M;S;SOLTERO(A);;;;;1960-10-24;;;5137760117136956;11417643-5;;;Calle Amaya;830;87º 4º;;;;20650;Villa Chavarría de la Sierra;CHILE;;;+34 963-372436;isabel.manzano@sanaatyadi.com;;;2024-01-30 11:40:27.000;2024-01-30 11:40:27.000;2024-01-30 11:40:27.000
1535;Isaac Rivera;;Isaac;;;M;D;DIVORCIADO(A);;;;;1981-08-07;;;5119824375376688;9323145-7;;;Rúa Gonzales;3;Bajo 4º;;;;48203;El Muñoz;CHILE;;;+34 600 036274;nora16@schwenke.xyz;;;2024-01-30 11:40:28.000;2024-01-30 11:40:28.000;2024-01-30 11:40:28.000
1536;Vera Menchaca;;Vera;;;F;C;CASADO(A);;;;;1968-08-15;;;5521612770033190;19065761-2;;;Ronda Parra;95;Bajos;;;;79153;A Tamez del Pozo;CHILE;;;+34 928-49-8621;zaragoza.omar@packmein.online;;;2024-01-30 11:40:29.000;2024-01-30 11:40:29.000;2024-01-30 11:40:29.000
1537;Mario Valladares;;Mario;;;M;U;UNION LIBRE;;;;;2002-10-06;;;373136701465628;28055456-1;;;Travessera Valdez;518;04º C;;;;29891;Las Hernandes del Penedès;CHILE;;;648-202112;blasco.alberto@suksesboss.com;;;2024-01-30 11:40:31.000;2024-01-30 11:40:31.000;2024-01-30 11:40:31.000
1538;Gabriel Espino;;Gabriel;;;M;S;SOLTERO(A);;;;;1988-09-27;;;341004184285146;25431936-8;;;Ruela Domínquez;22;08º E;;;;21629;Vall Montemayor;CHILE;;;938-57-8304;angulo.gabriel@shopxu89.com;;;2024-01-30 11:40:32.000;2024-01-30 11:40:32.000;2024-01-30 11:40:32.000
1539;Mario Carranza;;Mario;;;M;C;CASADO(A);;;;;1981-01-24;;;5308639483584937;18091531-1;;;Avinguda Acosta;8;59º F;;;;00306;A Alanis de San Pedro;CHILE;;;+34 602082382;marc86@onewedding.live;;;2024-01-30 11:40:34.000;2024-01-30 11:40:34.000;2024-01-30 11:40:34.000
1540;Mateo Noriega;;Mateo;;;M;S;SOLTERO(A);;;;;1964-07-20;;;6011503021571499;11086290-3;;;Plaça Mesa;49;67º 1º;;;;12658;Domínquez de Ulla;CHILE;;;+34 936-613516;miramontes.aina@igeekmagz.pw;;;2024-01-30 11:40:35.000;2024-01-30 11:40:35.000;2024-01-30 11:40:35.000
1541;Miriam Carreón;;Miriam;;;F;S;SOLTERO(A);;;;;1990-06-29;;;4916090339023356;13090455-6;;;Praza Manzanares;3;6º F;;;;80272;Cervántez del Pozo;CHILE;;;607 381427;gastelum.salma@adapteddifferent.work;;;2024-01-30 11:40:37.000;2024-01-30 11:40:37.000;2024-01-30 11:40:37.000
1542;Noa Fernández;;Noa;;;F;D;DIVORCIADO(A);;;;;1979-12-22;;;5591505231444201;3334871-1;;;Camiño Lerma;19;Bajo 8º;;;;15807;A Amador de Lemos;CHILE;;;982-12-5551;beatriz14@boranora.com;;;2024-01-30 11:40:38.000;2024-01-30 11:40:38.000;2024-01-30 11:40:38.000
1543;Ignacio Puga;;Ignacio;;;M;C;CASADO(A);;;;;1975-02-08;;;379744429878644;13032787-7;;;Camiño Aitana;59;17º A;;;;29116;Negrón de la Sierra;CHILE;;;902 310247;teran.anna@nktechnical.tech;;;2024-01-30 11:40:39.000;2024-01-30 11:40:39.000;2024-01-30 11:40:39.000
1544;Jordi Gaytán;;Jordi;;;M;D;DIVORCIADO(A);;;;;1960-07-25;;;5410662011265394;8764819-2;;;Calle Miguel Angel;04;9º D;;;;24999;Esteban de Arriba;CHILE;;;+34 619472554;pablo.ceja@haanhwedding.vn;;;2024-01-30 11:40:41.000;2024-01-30 11:40:41.000;2024-01-30 11:40:41.000
1545;Africa Aranda;;Africa;;;F;S;SOLTERO(A);;;;;2003-08-19;;;374043182627222;14160952-1;;;Passeig Ariadna;128;Bajo 6º;;;;52225;A Moya;CHILE;;;+34 910609787;jaquez.adam@shopxu89.com;;;2024-01-30 11:40:42.000;2024-01-30 11:40:42.000;2024-01-30 11:40:42.000
1546;Leo Amaya;;Leo;;;M;S;SOLTERO(A);;;;;1994-04-12;;;4024007195387;29967744-3;;;Ruela Valencia;797;67º D;;;;19854;A Ruíz Medio;CHILE;;;901 635095;sara52@haanhwedding.com;;;2024-01-30 11:40:44.000;2024-01-30 11:40:44.000;2024-01-30 11:40:44.000
1547;Alejandra Raya;;Alejandra;;;F;D;DIVORCIADO(A);;;;;1986-03-27;;;5253153197660939;9744585-0;;;Plaza Luna;43;86º D;;;;41459;Os Monroy;CHILE;;;974-909238;victoria.anaya@nktechnical.tech;;;2024-01-30 11:40:45.000;2024-01-30 11:40:45.000;2024-01-30 11:40:45.000
1548;Jose Antonio Ulibarri;;Jose;;;M;S;SOLTERO(A);;;;;1998-07-07;;;4024007172725;5486258-K;;;Paseo Bahena;75;8º D;;;;76785;Los Pons de la Sierra;CHILE;;;906 42 3806;zgimenez@sanaatyadi.com;;;2024-01-30 11:40:47.000;2024-01-30 11:40:47.000;2024-01-30 11:40:47.000
1549;Claudia Vera;;Claudia;;;F;S;SOLTERO(A);;;;;1977-05-25;;;4532850990001;20219215-7;;;Passeig Badillo;26;Bajo 0º;;;;90943;Vall Sosa Baja;CHILE;;;632-356279;victor.teran@igeekmagz.pw;;;2024-01-30 11:40:48.000;2024-01-30 11:40:48.000;2024-01-30 11:40:48.000
1550;Victoria Ballesteros;;Victoria;;;F;D;DIVORCIADO(A);;;;;2005-01-21;;;5225373517343876;35008273-5;;;Plaça Francisco Javier;565;8º F;;;;31737;Valdez del Puerto;CHILE;;;+34 698-77-9280;omar.esquibel@flyglobalflight.com;;;2024-01-30 11:40:50.000;2024-01-30 11:40:50.000;2024-01-30 11:40:50.000
